ds,y
2024-12-03 16:30:00,511.0
2024-12-03 16:45:00,1299.6666
2024-12-03 17:00:00,589.6667
2024-12-03 17:15:00,673.0
2024-12-03 17:30:00,839.6667
2024-12-03 17:45:00,2433.3333
2024-12-03 18:00:00,2751.75
2024-12-03 18:15:00,1937.3334
2024-12-03 18:30:00,1218.6666
2024-12-03 18:45:00,1162.0
2024-12-03 19:00:00,1340.0
2024-12-03 19:15:00,1570.3334
2024-12-03 19:30:00,1461.3334
2024-12-03 19:45:00,1447.3334
2024-12-03 20:00:00,1413.0
2024-12-03 20:15:00,1748.6666
2024-12-03 20:30:00,1480.0
2024-12-03 20:45:00,1469.3334
2024-12-03 21:00:00,1537.0
2024-12-03 21:15:00,1455.3334
2024-12-03 21:30:00,1380.3334
2024-12-03 21:45:00,1362.6666
2024-12-03 22:00:00,1096.6666
2024-12-03 22:15:00,1033.3334
2024-12-03 22:30:00,1076.0
2024-12-03 22:45:00,871.6667
2024-12-03 23:00:00,1006.6667
2024-12-03 23:15:00,1051.3334
2024-12-03 23:30:00,938.6667
2024-12-03 23:45:00,955.0
2024-12-04 00:00:00,859.0
2024-12-04 00:15:00,802.3333
2024-12-04 00:30:00,885.3333
2024-12-04 00:45:00,578.3333
2024-12-04 01:00:00,351.0
2024-12-04 01:15:00,348.33334
2024-12-04 01:30:00,172.33333
2024-12-04 01:45:00,253.0
2024-12-04 02:00:00,344.66666
2024-12-04 02:15:00,383.33334
2024-12-04 02:30:00,422.66666
2024-12-04 02:45:00,316.66666
2024-12-04 03:00:00,259.0
2024-12-04 03:15:00,291.33334
2024-12-04 03:30:00,244.33333
2024-12-04 03:45:00,329.33334
2024-12-04 04:00:00,374.0
2024-12-04 04:15:00,295.66666
2024-12-04 04:30:00,373.0
2024-12-04 04:45:00,444.66666
2024-12-04 05:00:00,331.33334
2024-12-04 05:15:00,470.0
2024-12-04 05:30:00,472.66666
2024-12-04 05:45:00,1135.0
2024-12-04 06:00:00,629.0
2024-12-04 06:15:00,568.6667
2024-12-04 06:30:00,781.6667
2024-12-04 06:45:00,432.33334
2024-12-04 07:00:00,296.33334
2024-12-04 07:15:00,348.66666
2024-12-04 07:30:00,429.3252
2024-12-04 07:45:00,346.653
2024-12-04 08:00:00,432.74496
2024-12-04 08:15:00,365.78076
2024-12-04 08:30:00,216.91765
2024-12-04 08:45:00,413.4723
2024-12-04 09:00:00,342.76364
2024-12-04 09:15:00,299.91473
2024-12-04 09:30:00,768.4489
2024-12-04 09:45:00,398.7072
2024-12-04 10:00:00,641.68207
2024-12-04 10:15:00,384.6098
2024-12-04 10:30:00,309.14975
2024-12-04 10:45:00,364.3064
2024-12-04 11:00:00,479.33344
2024-12-04 11:15:00,321.90057
2024-12-04 11:30:00,346.2604
2024-12-04 11:45:00,295.74234
2024-12-04 12:00:00,213.16397
2024-12-04 12:15:00,327.94086
2024-12-04 12:30:00,455.34174
2024-12-04 12:45:00,613.0714
