ds,y
2024-12-02 13:00:00,569.8933
2024-12-02 13:15:00,750.5482
2024-12-02 13:30:00,672.3528
2024-12-02 13:45:00,577.6116
2024-12-02 14:00:00,588.4347
2024-12-02 14:15:00,577.38214
2024-12-02 14:30:00,479.32135
2024-12-02 14:45:00,435.45746
2024-12-02 15:00:00,525.85315
2024-12-02 15:15:00,545.732
2024-12-02 15:30:00,575.5951
2024-12-02 15:45:00,693.63544
2024-12-02 16:00:00,518.0419
2024-12-02 16:15:00,630.6667
2024-12-02 16:30:00,810.0
2024-12-02 16:45:00,771.0
2024-12-02 17:00:00,975.3333
2024-12-02 17:15:00,963.3333
2024-12-02 17:30:00,873.6667
2024-12-02 17:45:00,1478.6666
2024-12-02 18:00:00,906.0
2024-12-02 18:15:00,930.0
2024-12-02 18:30:00,1695.0
2024-12-02 18:45:00,1113.0
2024-12-02 19:00:00,1066.3334
2024-12-02 19:15:00,933.0
2024-12-02 19:30:00,1380.0
2024-12-02 19:45:00,1907.6666
2024-12-02 20:00:00,1383.3334
2024-12-02 20:15:00,1173.0
2024-12-02 20:30:00,1134.6666
2024-12-02 20:45:00,1026.0
2024-12-02 21:00:00,1071.0
2024-12-02 21:15:00,1154.0
2024-12-02 21:30:00,1043.0
2024-12-02 21:45:00,1000.0
2024-12-02 22:00:00,998.6667
2024-12-02 22:15:00,874.3333
2024-12-02 22:30:00,954.0
2024-12-02 22:45:00,714.0
2024-12-02 23:00:00,814.0
2024-12-02 23:15:00,818.6667
2024-12-02 23:30:00,588.6667
2024-12-02 23:45:00,668.6667
2024-12-03 00:00:00,537.0
2024-12-03 00:15:00,472.66666
2024-12-03 00:30:00,690.0
2024-12-03 00:45:00,620.3333
2024-12-03 01:00:00,476.33334
2024-12-03 01:15:00,529.6667
2024-12-03 01:30:00,405.0
2024-12-03 01:45:00,378.33334
2024-12-03 02:00:00,553.3333
2024-12-03 02:15:00,478.33334
2024-12-03 02:30:00,430.0
2024-12-03 02:45:00,
2024-12-03 03:00:00,
2024-12-03 03:15:00,560.5
2024-12-03 03:30:00,539.6667
2024-12-03 03:45:00,500.0
2024-12-03 04:00:00,314.0
2024-12-03 04:15:00,264.0
2024-12-03 04:30:00,335.66666
2024-12-03 04:45:00,249.33333
2024-12-03 05:00:00,411.33334
2024-12-03 05:15:00,496.33334
2024-12-03 05:30:00,314.66666
2024-12-03 05:45:00,381.33334
2024-12-03 06:00:00,320.0
2024-12-03 06:15:00,299.0
2024-12-03 06:30:00,432.66666
2024-12-03 06:45:00,768.0
2024-12-03 07:00:00,338.66666
2024-12-03 07:15:00,350.66666
2024-12-03 07:30:00,256.66666
2024-12-03 07:45:00,228.64906
2024-12-03 08:00:00,424.13318
2024-12-03 08:15:00,293.98007
2024-12-03 08:30:00,378.32257
2024-12-03 08:45:00,386.13098
2024-12-03 09:00:00,554.75415
2024-12-03 09:15:00,387.04422
2024-12-03 09:30:00,872.0217
2024-12-03 09:45:00,357.07004
2024-12-03 10:00:00,430.2638
2024-12-03 10:15:00,358.7947
2024-12-03 10:30:00,355.31726
2024-12-03 10:45:00,411.84348
2024-12-03 11:00:00,209.42575
2024-12-03 11:15:00,334.9091
2024-12-03 11:30:00,354.80133
2024-12-03 11:45:00,213.28137
2024-12-03 12:00:00,883.489
2024-12-03 12:15:00,545.24585
2024-12-03 12:30:00,546.1565
2024-12-03 12:45:00,941.8263
2024-12-03 13:00:00,413.3806
2024-12-03 13:15:00,973.25336
2024-12-03 13:30:00,393.81668
2024-12-03 13:45:00,282.17062
2024-12-03 14:00:00,452.13037
2024-12-03 14:15:00,412.87836
2024-12-03 14:30:00,366.3217
2024-12-03 14:45:00,503.68015
2024-12-03 15:00:00,288.81128
2024-12-03 15:15:00,289.8239
2024-12-03 15:30:00,377.29523
2024-12-03 15:45:00,370.71
2024-12-03 16:00:00,445.92163
2024-12-03 16:15:00,552.3333
